2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
-7.947711,-7.796277,-7.644292,-7.4268084,-7.2079897,-7.3341475,-7.4594755
73.41394,73.229355,73.04392,73.36281,73.68275,73.38027,73.07852
36.176453,36.02968,35.883793,35.717655,35.550632,35.65084,35.750298
-12.904093,-12.852062,-12.798859,-12.790037,-12.782099,-12.528118,-12.275665
-24.545828,-24.612234,-24.6789,-24.558104,-24.438768,-24.368063,-24.296818
31.207108,30.915085,30.623318,30.568277,30.514204,30.165195,29.816494
-25.468172,-25.166204,-24.864126,-24.602,-24.340813,-24.437801,-24.533113
51.54508,51.569744,51.59419,51.455013,51.31484,51.43037,51.545067
33.49397,33.545403,33.5965,33.72334,33.850166,34.037838,34.22386
16.543238,16.785275,17.026175,16.993664,16.960508,16.923779,16.888252
-43.869232,-43.747726,-43.626465,-43.138542,-42.650414,-42.985554,-43.320583
12.783717,12.817826,12.851483,13.174906,13.5005245,13.637416,13.773651
25.268673,25.474274,25.678675,25.612072,25.545055,25.701572,25.858723
-34.646687,-34.612694,-34.57895,-34.872776,-35.166622,-35.265156,-35.362156
-17.173067,-17.20917,-17.244337,-17.379717,-17.51571,-17.047197,-16.579279
-38.25815,-38.300762,-38.34483,-38.446163,-38.548157,-38.41984,-38.29378
-20.906496,-21.065012,-21.225164,-20.882101,-20.539474,-20.066208,-19.592514
-12.4387245,-12.540264,-12.641366,-12.729973,-12.818436,-12.700498,-12.581846
18.247625,18.29806,18.348576,18.25707,18.165125,18.223463,18.283262
-12.202463,-12.356902,-12.511797,-12.769279,-13.026702,-12.7011175,-12.374747
-93.44995,-93.11009,-92.77042,-92.86571,-92.961426,-92.72688,-92.49156
35.235397,35.222523,35.209488,35.164314,35.118256,35.13259,35.148624
