2014 SVI No High School Diploma Encoding,2015 SVI No High School Diploma Encoding,2016 SVI No High School Diploma Encoding,2017 SVI No High School Diploma Encoding,2018 SVI No High School Diploma Encoding,2019 SVI No High School Diploma Encoding,2020 SVI No High School Diploma Encoding
18.230907,19.074255,19.917406,19.634514,19.353142,19.954885,20.554632
9.281704,9.992131,10.703072,10.00239,9.303035,8.556775,7.8105526
-15.60012,-15.951517,-16.30157,-16.892439,-17.48439,-17.428234,-17.372946
56.68301,56.51639,56.352146,56.76227,57.17367,57.122997,57.074078
-32.739834,-32.47695,-32.215332,-32.275547,-32.335537,-32.79243,-33.250065
-17.48141,-17.211792,-16.942644,-16.939646,-16.936186,-17.335747,-17.733997
40.58147,41.061314,41.541363,41.28172,41.021168,41.128582,41.234608
10.470737,11.104116,11.73749,11.907797,12.07844,13.165173,14.25337
97.12357,97.302315,97.48159,96.531845,95.58265,96.42118,97.25961
-21.887484,-21.565899,-21.243752,-22.159382,-23.075602,-22.757713,-22.439028
16.364399,16.317299,16.270922,15.553624,14.837031,14.293654,13.750721
93.19521,93.11034,93.02564,92.91783,92.80853,92.07744,91.34866
67.80069,68.120415,68.44053,68.345436,68.2505,67.218544,66.18631
-67.13792,-67.126816,-67.11533,-66.77671,-66.43756,-67.1272,-67.81662
49.836174,50.064484,50.29345,50.82275,51.353397,51.47819,51.602734
1.9341345,2.096344,2.25883,2.3095572,2.3601537,1.7889862,1.218859
42.126472,42.484196,42.84179,43.505306,44.167076,43.361965,42.55684
6.8788714,6.726269,6.5727153,5.2627025,3.9539227,3.332249,2.710161
21.784485,21.498737,21.214436,21.646084,22.077751,21.516762,20.955597
-11.180915,-10.384231,-9.586078,-9.902419,-10.217465,-10.085102,-9.9523
106.03138,106.81953,107.60696,107.22111,106.83457,106.82189,106.812126
2.288536,2.5809531,2.8748736,3.0510273,3.2288332,3.2498298,3.2712698
9.452296,9.484896,9.517462,9.978891,10.440075,9.589563,8.7372675
-57.888813,-58.29821,-58.70545,-58.856007,-59.006092,-58.999325,-58.992878
7.841445,7.608198,7.376631,7.5351286,7.6939936,7.4961996,7.2964096
68.86915,68.527176,68.185135,67.68699,67.19026,67.861404,68.533714
4.18672,4.4289865,4.6705017,5.1563535,5.642205,5.6226487,5.6039433
-8.779883,-7.900617,-7.0210843,-6.7961373,-6.570639,-6.644586,-6.7202153
89.76497,89.906906,90.049225,89.43756,88.826004,88.14831,87.47319
-72.56989,-72.71872,-72.86677,-72.55531,-72.243,-71.871155,-71.49949
44.132065,44.20756,44.282436,44.436836,44.5901,43.846096,43.104
-25.111576,-25.234497,-25.356628,-24.606487,-23.857601,-24.386887,-24.91497
50.23675,49.73783,49.240105,48.810966,48.381004,47.57109,46.760456
-5.452684,-5.806742,-6.161435,-5.9233093,-5.6840963,-6.320053,-6.9543886
9.265805,10.361354,11.45782,11.185301,10.913766,11.125141,11.33717
-64.33771,-64.21185,-64.08502,-63.366856,-62.64749,-62.03003,-61.412907
7.345279,6.78844,6.230806,5.5649047,4.8986125,5.0354342,5.17386
-23.112427,-23.215368,-23.317253,-24.40077,-25.48383,-25.077894,-24.670992
-90.86134,-91.91694,-92.9729,-92.269585,-91.564476,-91.80526,-92.04614
66.29244,65.89733,65.50192,65.46877,65.43416,65.89339,66.35352
