2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
-78.0557,-78.21013,-78.36363,-77.050354,-75.73668,-70.842125,-65.91234
66.03208,65.98138,65.93064,65.69898,65.46786,67.24368,68.963905
-14.283255,-13.838541,-13.393137,-14.816026,-16.237398,-17.308039,-18.271717
-9.177193,-9.919206,-10.661145,-11.405608,-12.140956,-11.040768,-10.122748
-29.274504,-28.315926,-27.356148,-26.228682,-25.093765,-25.93129,-26.8463
-13.644726,-12.489799,-11.336609,-10.050396,-8.753176,-8.52938,-8.342188
-27.179348,-27.609867,-28.04143,-27.580729,-27.135824,-28.785967,-30.508045
79.70575,80.09771,80.48913,79.24674,77.993256,78.1658,78.37037
-32.121185,-31.312096,-30.501596,-32.316025,-34.114803,-34.706333,-35.131664
-35.110317,-35.121784,-35.13265,-35.833603,-36.523685,-35.409374,-34.24203
70.307144,68.60691,66.90755,65.35639,63.816734,60.8941,58.13053
62.22639,62.131218,62.03764,59.886173,57.747646,57.502895,57.298443
-0.3892735,0.69271296,1.7744275,3.7162344,5.671953,6.2184467,6.821926
-25.32391,-24.577904,-23.833597,-23.670406,-23.49585,-21.064697,-18.729118
-49.418938,-48.74649,-48.073273,-45.70912,-43.3481,-43.902416,-44.549202
-44.964718,-46.54846,-48.13279,-49.9286,-51.710926,-52.46587,-53.06595
91.09645,92.74995,94.40261,93.5059,92.5933,91.483635,90.274475
-1.004627,-1.2830393,-1.5606759,-0.19586782,1.180845,1.5180995,1.8485239
-47.648434,-49.137894,-50.629967,-47.87935,-45.11133,-45.511063,-45.797276
97.409805,97.687874,97.96517,97.86439,97.772,96.71154,95.72686
-8.093835,-8.616061,-9.139596,-10.639775,-12.129733,-11.178011,-10.156774
-57.627953,-56.858273,-56.08778,-53.200794,-50.327675,-48.93351,-47.62926
-46.398018,-45.335392,-44.272583,-43.189743,-42.1149,-41.922256,-41.748333
1.1498517,0.12739739,-0.89501727,1.9271315,4.7407017,4.5084925,4.2464433
