2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
80.64,77.22,73.8,78.96,84.11,85.67,87.24
18.94,18.04,17.13,16.12,15.12,15.9,16.68
95.61,93.88,92.14,93.6,95.07,93.08,91.09
55.71,59.66,63.61,61.65,59.69,59.08,58.47
90.89,89.14,87.39,84.16,80.93,81.25,81.57
78.16,75.56,72.97,65.54,58.1,63.87,69.64
79.53,77.9,76.28,70.58,64.88,64.5,64.13
50.08,52.84,55.59,56.84,58.1,60.42,62.73
36.01,36.06,36.1,33.5,30.91,32.12,33.32
6.24,8.94,11.65,13.07,14.49,15.18,15.88
90.19,88.94,87.68,84.88,82.08,83.06,84.05
87.81,87.25,86.69,91.37,96.05,96.16,96.28
91.12,90.42,89.72,83.91,78.1,65.52,52.93
33.4,34.75,36.1,36.2,36.29,39.9,43.51
70.49,71.22,71.95,71.6,71.25,67.98,64.7
44.73,46.51,48.3,47.72,47.15,45.33,43.51
9.71,9.01,8.31,7.64,6.97,7.22,7.48
32.51,26.38,20.25,16.34,12.42,9.95,7.48
50.08,54.09,58.1,56.63,55.17,60.74,66.3
37.89,36.55,35.21,41.18,47.15,47.82,48.5
60.17,52.72,45.27,46.21,47.15,54.62,62.09
7.9,8.49,9.07,10.12,11.17,11.9,12.64
38.78,39.92,41.07,40.45,39.83,40.35,40.87
18.94,19.07,19.2,19.8,20.41,20.61,20.81
59.22,60.52,61.83,59.35,56.86,57.66,58.47
44.03,45.21,46.39,47.22,48.04,50.48,52.93
47.85,48.95,50.05,49.55,49.06,48.11,47.17
62.56,63.08,63.61,67.08,70.55,68.26,65.98
11.97,13.72,15.47,14.58,13.69,13.86,14.04
53.68,52.38,51.07,51.64,52.21,51.7,51.18
44.03,47.55,51.07,52.89,54.7,54.82,54.93
52.66,53.42,54.19,52.12,50.05,48.61,47.17
10.32,9.7,9.07,8.52,7.96,9.17,10.38
80.64,82.66,84.69,82.81,80.93,80.04,79.15
69.02,72.21,75.39,77.8,80.2,83.96,87.71
94.3,91.68,89.05,90.68,92.3,92.36,92.43
45.78,46.08,46.39,47.72,49.06,47.64,46.21
53.68,55.89,58.1,60.84,63.58,65.35,67.12
74.59,64.76,54.92,55.89,56.86,42.8,28.74
69.02,64.55,60.08,59.88,59.69,60.89,62.09
85.32,84.75,84.18,82.56,80.93,82.49,84.05
75.33,76.72,78.1,78.1,78.1,61.67,45.23
46.74,46.0,45.27,45.78,46.29,46.73,47.17
71.12,74.02,76.92,78.35,79.78,78.8,77.82
72.62,77.94,83.25,86.8,90.35,85.5,80.65
34.16,36.06,37.95,45.8,53.65,56.06,58.47
56.73,57.41,58.1,57.83,57.56,66.68,75.81
24.45,27.89,31.33,28.54,25.76,27.25,28.74
37.03,40.61,44.19,40.91,37.63,31.86,26.1
95.7,90.2,84.69,70.4,56.1,37.39,18.68
71.76,78.43,85.1,83.4,81.69,74.0,66.3
41.45,43.92,46.39,48.7,51.0,52.96,54.93
85.32,80.36,75.39,68.51,61.64,68.95,76.26
96.5,96.62,96.75,92.8,88.86,76.78,64.7
89.62,88.16,86.69,76.47,66.25,54.05,41.85
11.46,10.64,9.81,14.5,19.2,17.54,15.88
19.8,21.24,22.67,25.57,28.46,28.2,27.94
69.02,64.18,59.34,49.58,39.83,32.15,24.47
44.03,45.67,47.31,50.48,53.65,51.57,49.49
60.17,64.09,68.0,64.37,60.74,63.93,67.12
10.98,16.06,21.14,20.17,19.2,20.0,20.81
75.96,74.15,72.33,71.79,71.25,72.94,74.63
50.08,51.48,52.88,47.69,42.5,42.18,41.85
45.78,43.95,42.12,42.31,42.5,53.6,64.7
29.96,36.04,42.12,62.68,83.25,87.5,91.76
18.31,21.3,24.29,29.76,35.24,40.24,45.23
57.62,54.34,51.07,31.12,11.17,17.08,22.98
70.49,70.87,71.25,70.9,70.55,71.46,72.37
4.81,4.72,4.62,5.27,5.92,7.92,9.93
9.71,8.39,7.07,9.75,12.42,17.07,21.71
94.49,84.76,75.04,80.21,85.39,88.24,91.09
14.45,12.8,11.14,10.55,9.96,10.72,11.49
84.24,81.84,79.43,63.74,48.04,54.18,60.31
2.32,2.37,2.42,2.29,2.16,2.94,3.72
53.68,61.29,68.9,73.02,77.14,72.72,68.3
42.31,44.35,46.39,42.64,38.9,42.56,46.21
9.11,10.38,11.65,13.38,15.12,18.42,21.71
43.11,54.22,65.33,68.29,71.25,62.09,52.93
9.71,10.09,10.47,10.22,9.96,11.3,12.64
48.93,54.14,59.34,62.46,65.58,76.65,87.71
85.32,80.56,75.8,72.81,69.82,74.09,78.36
71.12,64.61,58.1,61.84,65.58,65.94,66.3
20.89,21.78,22.67,33.1,43.52,42.68,41.85
53.68,57.76,61.83,63.02,64.22,56.86,49.49
7.45,7.54,7.64,7.8,7.96,9.17,10.38
73.96,77.68,81.41,79.28,77.14,79.54,81.95
50.08,58.07,66.06,76.63,87.2,75.27,63.34
48.93,47.1,45.27,48.14,51.0,54.74,58.47
18.31,18.76,19.2,17.8,16.4,15.81,15.21
45.78,47.92,50.05,45.74,41.42,47.6,53.79
39.83,36.6,33.37,38.92,44.48,33.73,22.98
23.02,24.82,26.62,24.6,22.57,16.25,9.93
71.12,72.81,74.5,78.88,83.25,85.06,86.86
62.56,67.77,72.97,74.68,76.38,77.37,78.36
51.74,53.33,54.92,57.83,60.74,44.34,27.94
92.68,90.44,88.19,92.12,96.05,95.92,95.8
6.24,5.28,4.33,4.7,5.06,8.85,12.64
61.64,57.26,52.88,50.46,48.04,50.92,53.79
1.46,1.26,1.05,0.93,0.8,0.84,0.89
81.31,86.72,92.14,86.17,80.2,79.01,77.82
5.16,5.78,6.4,6.68,6.97,6.74,6.52
76.5,77.3,78.1,80.47,82.84,83.68,84.53
36.01,30.48,24.96,28.48,32.0,36.11,40.23
46.74,48.4,50.05,51.13,52.21,47.03,41.85
50.08,62.74,75.39,75.56,75.74,61.45,47.17
72.62,78.66,84.69,85.16,85.64,84.56,83.48
24.45,36.38,48.3,46.86,45.43,40.66,35.9
1.15,0.96,0.76,0.65,0.54,0.67,0.8
58.42,56.67,54.92,56.96,58.99,59.65,60.31
12.61,12.66,12.7,12.27,11.84,13.86,15.88
47.85,40.12,32.38,43.78,55.17,55.05,54.93
78.16,75.98,73.8,73.3,72.81,68.47,64.13
61.64,63.48,65.33,68.69,72.05,63.94,55.82
64.37,67.81,71.25,77.25,83.25,84.9,86.54
92.96,88.38,83.79,81.78,79.78,88.41,97.04
7.45,9.3,11.14,9.8,8.47,6.68,4.9
17.54,20.92,24.29,25.77,27.25,24.48,21.71
75.96,85.56,95.16,89.89,84.62,58.97,33.32
36.01,34.69,33.37,32.14,30.91,33.4,35.9
42.31,52.42,62.53,65.0,67.46,70.65,73.84
64.37,66.18,68.0,63.84,59.69,66.03,72.37
51.74,57.68,63.61,56.34,49.06,50.12,51.18
77.17,71.62,66.06,52.94,39.83,45.87,51.91
82.43,76.55,70.68,70.62,70.55,77.3,84.05
46.74,43.9,41.07,42.3,43.52,37.24,30.97
61.64,57.92,54.19,46.54,38.9,57.58,76.26
82.74,81.34,79.94,74.88,69.82,55.02,40.23
