2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding
163.8,160.1,153.3,135.5,121.8,161.9,148.7
57.6,52.9,51.2,47.2,41.3,29.0,27.3
141.9,127.6,122.9,112.4,112.4,43.8,37.5
52.3,49.1,49.2,44.0,38.3,71.7,65.0
145.4,139.4,135.2,118.7,112.7,52.9,50.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.5,104.0,104.5,94.1,78.2,78.1,73.6
130.5,120.0,117.8,106.3,95.6,65.2,68.9
74.2,74.7,78.7,77.5,66.5,33.5,35.3
140.6,129.3,142.0,129.3,104.3,54.5,49.1
49.4,47.1,47.4,43.4,38.1,31.3,29.2
118.3,108.0,101.8,100.7,87.2,28.3,27.2
98.9,97.0,94.5,87.6,77.6,80.4,77.6
53.8,55.0,53.7,45.7,37.7,11.4,10.1
203.6,205.1,193.7,180.2,158.1,44.1,43.4
8.4,9.0,7.8,5.6,5.7,4.3,4.2
109.0,104.8,103.5,102.1,90.7,34.8,34.0
1.2,0.6,0.6,0.5,0.0,0.1,0.1
85.8,81.9,78.6,70.8,63.3,47.4,41.8
104.9,99.3,93.5,86.7,76.8,58.2,56.0
82.2,61.3,57.2,55.5,59.7,37.0,30.7
119.2,109.3,116.6,108.4,97.4,47.5,46.9
64.9,60.8,58.8,57.3,47.7,22.0,22.8
110.8,104.1,91.7,84.4,72.5,33.5,31.6
128.0,129.0,125.1,113.8,91.3,44.5,40.9
38.0,38.0,31.1,26.8,16.9,27.9,32.5
45.3,42.1,33.8,3.0,0.0,18.5,18.9
55.5,53.9,53.8,51.3,45.5,26.7,24.5
77.9,72.1,75.6,65.1,67.1,20.8,16.4
3.3,16.4,79.5,69.6,66.4,28.6,26.5
144.7,131.5,122.8,115.7,100.6,103.5,96.3
