FIPS,2014 RPL_THEMES,2015 RPL_THEMES,2016 RPL_THEMES,2017 RPL_THEMES,2018 RPL_THEMES,2019 RPL_THEMES,2020 RPL_THEMES
08117,6.56,6.88,7.2,7.14,7.07,13.51,19.96
08119,3.79,4.32,4.84,6.06,7.29,8.84,10.38
08121,19.26,23.37,27.48,27.85,28.22,26.22,24.22
08123,51.96,50.05,48.14,44.04,39.94,50.52,61.11
08125,23.59,34.52,45.46,50.92,56.37,52.77,49.17
09001,42.73,43.04,43.36,44.16,44.97,53.4,61.84
09003,56.7,54.64,52.59,52.05,51.5,55.53,59.55
09005,6.3,7.24,8.18,8.18,8.18,11.65,15.12
09007,8.69,9.02,9.36,10.59,11.82,15.12,18.43
09009,53.26,52.0,50.75,51.49,52.23,58.68,65.12
09011,34.57,34.76,34.96,35.28,35.61,37.6,39.59
09013,6.72,6.74,6.75,6.85,6.94,8.84,10.73
09015,43.81,44.19,44.57,43.44,42.32,45.16,47.99
10001,66.03,67.94,69.85,71.26,72.68,78.56,84.44
10003,39.76,39.43,39.1,38.35,37.61,42.47,47.33
10005,51.7,50.22,48.74,44.46,40.19,44.58,48.98
11001,58.74,58.96,59.18,59.41,59.65,62.34,65.02
12001,49.54,49.12,48.71,48.0,47.29,55.32,63.34
12003,71.73,70.98,70.23,69.13,68.03,55.86,43.7
12005,59.47,59.87,60.27,60.52,60.76,67.03,73.3
12007,92.84,91.86,90.89,91.77,92.64,91.23,89.82
12009,42.02,42.34,42.66,39.9,37.13,42.1,47.07
12011,60.74,60.3,59.85,59.14,58.44,68.35,78.26
12013,94.68,93.24,91.79,87.9,84.01,78.82,73.62
12015,44.86,46.52,48.17,48.53,48.89,55.28,61.68
12017,50.81,55.84,60.87,60.54,60.22,57.05,53.88
12019,36.8,36.2,35.59,36.81,38.03,38.56,39.08
12021,51.74,49.92,48.11,47.14,46.18,55.44,64.7
12023,89.94,87.92,85.9,85.93,85.96,87.72,89.47
12027,99.43,99.22,99.01,97.6,96.18,97.79,99.4
12029,70.71,77.62,84.53,87.24,89.94,83.32,76.7
12031,66.44,66.76,67.08,68.14,69.2,74.46,79.73
12033,62.3,55.68,49.06,48.84,48.63,61.82,75.02
12035,38.9,36.21,33.52,30.76,27.99,31.45,34.91
12037,87.17,84.34,81.5,81.16,80.83,85.77,90.71
12039,98.82,98.79,98.76,98.88,99.01,98.14,97.26
12041,81.73,79.6,77.46,76.56,75.67,78.62,81.57
12043,91.88,93.63,95.38,92.93,90.48,89.84,89.21
12045,83.99,75.25,66.51,62.86,59.2,63.2,67.19
12047,95.96,97.2,98.44,98.76,99.08,98.54,97.99
12049,99.75,99.62,99.49,98.9,98.31,97.24,96.18
12051,99.71,99.63,99.55,99.47,99.39,99.49,99.59
12053,63.51,62.54,61.57,58.24,54.9,60.68,66.45
12055,87.11,86.14,85.16,86.22,87.29,85.98,84.66
12057,69.37,69.21,69.05,68.03,67.01,73.04,79.06
12059,82.43,84.85,87.27,90.37,93.47,89.86,86.25
12061,47.98,47.84,47.69,43.66,39.62,45.86,52.1
12063,93.92,95.32,96.72,96.28,95.83,92.87,89.91
12065,78.7,77.14,75.58,66.53,57.48,62.18,66.87
12067,89.72,92.1,94.49,96.28,98.06,88.83,79.6
12069,63.8,64.48,65.17,62.73,60.29,64.04,67.79
12071,66.38,65.01,63.64,59.44,55.25,63.67,72.09
12073,53.8,52.08,50.37,49.9,49.43,57.66,65.88
12075,87.27,86.12,84.97,81.45,77.93,77.67,77.4
12077,90.67,88.82,86.98,85.16,83.34,76.98,70.62
12079,98.41,98.1,97.8,96.94,96.08,93.79,91.5
12081,58.17,56.81,55.46,53.72,51.97,60.9,69.83
12083,80.04,78.27,76.5,75.92,75.35,80.38,85.42
12085,41.83,43.0,44.16,42.03,39.9,44.44,48.98
12086,84.97,84.2,83.44,82.6,81.75,85.91,90.07
12087,51.16,49.22,47.28,46.42,45.57,57.72,69.86
