FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
13001,77.94,77.27,76.6,80.56,84.53,83.0,81.48
13003,87.3,83.51,79.72,78.83,77.94,59.48,41.02
13005,60.17,50.02,39.86,39.38,38.9,58.26,77.63
13007,83.86,78.35,72.84,77.43,82.01,79.37,76.73
13009,75.96,76.68,77.4,78.04,78.67,69.76,60.85
13011,31.36,29.49,27.63,33.26,38.9,24.59,10.28
13013,14.65,13.63,12.61,12.35,12.1,15.33,18.56
13015,27.98,25.69,23.4,23.8,24.2,22.03,19.86
13017,97.87,98.36,98.85,98.65,98.44,93.81,89.18
13019,82.84,85.91,88.98,89.86,90.74,73.63,56.52
13021,94.3,95.0,95.7,95.35,95.0,95.44,95.89
13023,52.98,61.74,70.49,64.78,59.06,30.82,2.58
13025,27.98,22.11,16.24,16.67,17.1,17.83,18.56
13027,62.97,66.73,70.49,64.78,59.06,51.64,44.21
13029,7.13,14.6,22.06,29.6,37.15,28.51,19.86
13031,52.98,51.66,50.33,46.29,42.25,41.64,41.02
13033,84.59,76.33,68.07,76.3,84.53,87.03,89.53
13035,19.33,38.67,58.01,60.62,63.23,43.6,23.97
13037,98.03,92.06,86.09,89.35,92.61,89.56,86.51
13039,34.8,37.33,39.86,35.93,32.0,42.82,53.63
13043,84.59,76.33,68.07,78.24,88.41,83.82,79.22
13045,44.51,48.95,53.39,47.82,42.25,32.44,22.63
13047,18.08,16.06,14.04,14.88,15.73,24.92,34.12
13049,91.95,85.84,79.72,83.29,86.85,77.02,67.19
13051,77.94,78.83,79.72,80.6,81.47,79.55,77.63
13053,13.34,34.15,54.95,53.18,51.42,46.22,41.02
13055,58.87,55.4,51.93,51.68,51.42,53.18,54.93
13057,6.08,8.42,10.76,9.3,7.83,7.51,7.19
13059,69.79,75.87,81.95,85.18,88.41,86.55,84.69
13061,99.36,99.32,99.27,98.73,98.19,91.78,85.36
13063,71.06,70.78,70.49,70.25,70.01,73.0,76.0
13065,94.91,94.16,93.41,88.13,82.84,81.7,80.55
13067,19.33,18.44,17.54,17.32,17.1,17.83,18.56
13069,84.59,84.42,84.24,86.06,87.87,80.87,73.87
13071,91.95,91.79,91.63,89.75,87.87,79.76,71.64
13073,4.78,5.14,5.51,5.27,5.03,6.11,7.19
13075,67.53,73.62,79.72,80.6,81.47,77.19,72.92
13077,14.65,16.1,17.54,21.58,25.63,21.54,17.44
13079,40.18,42.78,45.37,49.89,54.41,63.66,72.92
13081,88.92,92.0,95.07,95.72,96.37,97.2,98.03
13083,23.62,31.74,39.86,53.44,67.02,51.36,35.71
13085,4.33,6.1,7.86,5.73,3.6,2.66,1.72
13087,91.66,92.54,93.41,89.56,85.71,85.2,84.69
13089,86.47,85.6,84.72,84.32,83.92,83.68,83.45
13091,88.38,88.92,89.46,87.0,84.53,75.86,67.19
