FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP
12021,59.82,51.75,43.68,39.28,34.87,36.99,39.12
12023,97.55,95.06,92.58,92.38,92.17,92.12,92.08
12027,74.91,72.14,69.37,55.52,41.66,66.87,92.08
12029,49.38,38.88,28.37,39.22,50.06,40.36,30.65
12031,78.13,75.52,72.91,70.61,68.31,63.12,57.92
12033,76.5,72.93,69.37,68.17,66.97,71.23,75.49
12035,71.89,66.33,60.78,55.42,50.06,40.36,30.65
12037,79.05,78.78,78.51,78.73,78.95,83.27,87.59
12039,89.37,85.55,81.73,81.61,81.5,64.46,47.42
12041,94.43,88.51,82.59,71.46,60.32,47.86,35.39
12043,92.23,94.11,95.99,95.72,95.45,96.1,96.75
12045,87.68,83.1,78.51,78.2,77.9,60.88,43.86
12047,97.68,97.26,96.85,97.6,98.34,96.99,95.64
12049,90.29,90.76,91.24,74.89,58.54,73.92,89.31
12051,92.71,89.05,85.39,85.4,85.41,83.06,80.71
12053,95.96,93.41,90.86,84.38,77.9,79.31,80.71
12055,94.62,94.43,94.24,94.84,95.45,93.02,90.58
12057,69.02,66.84,64.66,62.49,60.32,58.09,55.86
12059,85.42,90.61,95.8,95.59,95.38,78.4,61.43
12061,91.5,88.92,86.34,80.58,74.81,74.5,74.19
12063,91.72,92.98,94.24,91.37,88.5,78.6,68.71
12065,88.19,79.28,70.36,55.09,39.81,52.99,66.17
12067,93.0,95.38,97.77,97.82,97.87,97.36,96.85
12069,76.5,72.32,68.13,67.55,66.97,69.24,71.51
12071,83.25,77.44,71.63,64.16,56.69,54.2,51.72
12073,79.05,80.39,81.73,81.61,81.5,77.84,74.19
12075,92.23,88.14,84.05,77.48,70.92,73.21,75.49
12077,97.61,87.56,77.52,86.85,96.18,93.0,89.82
12079,90.61,92.54,94.46,73.95,53.44,46.28,39.12
12081,66.35,62.91,59.47,58.08,56.69,60.56,64.42
12083,88.19,86.79,85.39,86.94,88.5,84.6,80.71
12085,78.13,74.24,70.36,58.64,46.91,45.38,43.86
12086,79.05,75.34,71.63,67.69,63.76,57.74,51.72
12087,35.5,29.6,23.69,17.46,11.24,15.65,20.05
12089,69.91,65.35,60.78,48.56,36.34,40.98,45.61
12091,47.06,46.04,45.02,48.37,51.72,42.47,33.23
12093,92.71,91.79,90.86,82.84,74.81,66.37,57.92
12095,71.89,69.51,67.14,62.84,58.54,59.98,61.43
12097,79.82,74.6,69.37,66.56,63.76,64.09,64.42
12099,75.68,71.9,68.13,67.55,66.97,69.24,71.51
12101,77.3,72.72,68.13,67.55,66.97,68.56,70.15
12103,65.46,61.22,56.99,55.21,53.44,54.65,55.86
12105,83.25,82.49,81.73,77.03,72.32,66.02,59.71
12107,85.42,88.48,91.53,93.2,94.87,92.92,90.96
12109,36.55,37.24,37.92,38.86,39.81,46.83,53.85
12111,91.05,87.55,84.05,75.51,66.97,63.34,59.71
12113,64.02,59.14,54.25,52.98,51.72,56.58,61.43
12115,66.35,60.3,54.25,45.29,36.34,33.49,30.65
12117,70.77,68.39,66.0,58.86,51.72,47.79,43.86
12119,79.82,72.24,64.66,50.5,36.34,40.98,45.61
12121,83.25,84.8,86.34,81.8,77.26,66.56,55.86
12123,80.58,71.32,62.05,62.06,62.07,72.95,83.83
12125,77.3,82.36,87.42,87.72,88.03,51.56,15.09
12127,72.78,68.2,63.61,57.66,51.72,48.67,45.61
12129,54.09,54.17,54.25,49.58,44.9,31.17,17.44
12131,49.38,53.18,56.99,50.94,44.9,48.31,51.72
12133,87.17,85.26,83.35,85.69,88.03,81.76,75.49
13001,45.62,58.63,71.63,64.16,56.69,41.95,27.21
13003,59.82,48.3,36.77,63.65,90.54,83.02,75.49
13005,15.31,21.84,28.37,37.64,46.91,42.28,37.65
13007,35.5,22.05,8.6,16.58,24.55,61.83,99.11
13009,61.99,65.06,68.13,79.94,91.75,88.3,84.85
13011,58.8,60.42,62.05,54.48,46.91,36.17,25.43
13013,79.05,75.98,72.91,57.97,43.03,45.22,47.42
13015,72.78,67.42,62.05,56.89,51.72,58.94,66.17
13017,83.92,73.76,63.61,49.98,36.34,53.92,71.51
13019,95.96,91.47,86.98,87.14,87.29,76.73,66.17
13021,87.17,89.2,91.24,89.87,88.5,86.68,84.85
13023,34.54,40.35,46.16,62.03,77.9,78.5,79.09
13025,88.19,83.35,78.51,66.66,54.81,50.21,45.61
13027,98.19,98.56,98.92,96.52,94.11,87.02,79.92
13029,54.09,66.7,79.31,78.29,77.26,79.46,81.67
13031,64.02,73.3,82.59,84.94,87.29,90.11,92.93
13033,64.02,60.5,56.99,49.32,41.66,40.39,39.12
13035,87.68,79.02,70.36,61.04,51.72,52.78,53.85
13037,42.73,70.01,97.29,97.88,98.47,97.86,97.26
13039,72.78,76.04,79.31,78.29,77.26,77.65,78.04
13043,65.46,59.85,54.25,59.0,63.76,58.8,53.85
13045,89.37,89.28,89.18,85.75,82.32,77.62,72.92
13047,61.99,58.76,55.52,39.43,23.34,22.65,21.96
13049,97.39,95.46,93.54,95.38,97.23,98.12,99.01
13051,63.01,70.76,78.51,80.96,83.41,84.13,84.85
13053,98.38,98.36,98.34,95.43,92.52,95.24,97.96
13055,76.5,80.94,85.39,85.04,84.68,67.12,49.55
13057,41.39,36.48,31.58,30.41,29.24,28.22,27.21
13059,66.35,69.63,72.91,69.18,65.45,65.81,66.17
13061,99.36,99.34,99.33,99.38,99.43,97.7,95.96
13063,95.96,95.02,94.08,90.42,86.75,84.64,82.53
13065,59.82,75.53,91.24,79.77,68.31,47.76,27.21
13067,58.8,54.18,49.57,45.62,41.66,44.54,47.42
13069,73.96,65.47,56.99,45.93,34.87,35.13,35.39
13071,64.02,63.04,62.05,66.48,70.92,78.68,86.44
13073,37.76,44.46,51.16,48.03,44.9,46.16,47.42
13075,60.74,45.46,30.18,37.54,44.9,44.38,43.86
13077,44.57,45.36,46.16,41.25,36.34,32.48,28.61
13079,86.37,84.05,81.73,87.13,92.52,91.88,91.25
13081,97.39,97.06,96.72,96.98,97.23,97.66,98.09
13083,55.21,45.26,35.31,30.71,26.11,38.92,51.72
13085,67.34,63.4,59.47,42.01,24.55,39.2,53.85
13087,59.82,54.02,48.23,48.5,48.76,62.82,76.89
13089,88.98,86.16,83.35,80.62,77.9,78.5,79.09
13091,64.02,75.72,87.42,81.62,75.83,59.84,43.86
