FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD,2021 EPL_CROWD,2022 EPL_CROWD
08109,85.32,88.33,91.34,92.42,93.51,88.3,83.1,63.1,43.11
08111,46.83,32.28,17.73,39.11,60.49,62.66,64.83,32.42,0.0
08113,83.79,83.48,83.16,79.69,76.22,70.52,64.83,72.28,79.73
08115,9.68,44.27,78.86,76.6,74.34,63.89,53.44,36.85,20.27
08117,64.34,78.03,91.72,93.32,94.91,95.3,95.7,93.73,91.76
08119,30.5,44.16,57.82,51.2,44.57,54.7,64.83,48.4,31.98
08121,30.72,44.47,58.23,58.12,58.01,67.6,77.18,65.66,54.15
08123,83.73,79.72,75.71,74.1,72.49,75.63,78.77,79.25,79.73
08125,17.03,46.75,76.47,83.04,89.62,85.85,82.08,88.52,94.97
09110,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09120,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09130,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09140,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09150,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09160,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09170,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09180,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09190,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
10001,38.65,46.63,54.6,53.2,51.8,49.61,47.42,45.26,43.11
10003,41.04,37.3,33.56,29.8,26.04,26.82,27.59,35.35,43.11
10005,51.93,54.04,56.16,55.57,54.98,57.28,59.58,60.2,60.83
11001,80.74,82.58,84.43,84.5,84.56,84.29,84.02,84.44,84.86
12001,51.26,47.9,44.54,44.56,44.57,49.0,53.44,53.79,54.15
12003,85.16,81.28,77.4,78.46,79.53,68.04,56.56,58.7,60.83
12005,48.9,50.22,51.54,51.67,51.8,61.0,70.21,71.91,73.62
12007,70.93,61.13,51.32,54.66,58.01,54.16,50.32,52.24,54.15
12009,31.01,31.82,32.63,33.11,33.59,34.8,36.0,36.04,36.08
12011,85.74,86.17,86.6,87.44,88.28,87.98,87.68,88.75,89.82
12013,94.94,87.87,80.8,75.72,70.65,60.48,50.32,68.76,87.21
12015,19.2,23.58,27.95,34.26,40.56,36.2,31.83,29.74,27.65
12017,34.73,41.52,48.3,40.94,33.59,23.83,14.07,20.86,27.65
12019,45.91,51.99,58.07,54.94,51.8,47.72,43.63,48.89,54.15
12021,86.98,86.92,86.85,88.64,90.42,87.65,84.88,86.04,87.21
12023,74.72,79.12,83.51,82.2,80.9,78.22,75.53,79.82,84.12
12027,96.47,96.7,96.94,95.38,93.82,92.04,90.26,92.68,95.1
12029,58.9,71.52,84.15,88.06,91.98,91.92,91.85,91.8,91.76
12031,51.07,53.89,56.7,59.92,63.13,59.84,56.56,60.08,63.6
12033,30.88,25.66,20.44,23.24,26.04,33.14,40.23,47.19,54.15
