FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
08019,12.61,8.82,5.03,5.2,5.38,15.31,25.24,21.44,17.63
08021,83.22,86.3,89.37,85.53,81.69,83.43,85.17,78.84,72.51
08023,99.68,99.7,99.71,99.36,99.01,97.85,96.69,97.2,97.71
08025,94.49,94.02,93.54,91.2,88.86,91.5,94.14,90.57,86.99
08027,72.62,71.26,69.91,71.74,73.58,69.14,64.7,49.99,35.28
08029,71.12,73.7,76.28,76.33,76.38,75.11,73.84,75.83,77.82
08031,6.91,5.76,4.62,5.0,5.38,5.35,5.32,5.33,5.35
08033,91.56,91.6,91.63,91.26,90.89,79.01,67.12,34.28,1.43
08035,0.38,0.35,0.32,0.35,0.38,0.54,0.7,0.78,0.86
08037,0.0,0.0,0.0,0.02,0.03,0.1,0.16,0.19,0.22
08039,8.63,9.88,11.14,8.8,6.46,5.25,4.04,2.78,1.53
08041,16.71,17.3,17.89,19.55,21.2,21.01,20.81,20.89,20.97
08043,71.76,74.93,78.1,77.24,76.38,70.54,64.7,69.83,74.96
08045,5.76,4.09,2.42,2.1,1.78,1.94,2.1,2.66,3.21
08047,9.71,6.44,3.18,2.9,2.61,3.01,3.41,10.23,17.05
08049,0.89,0.48,0.06,0.08,0.1,0.13,0.16,0.38,0.6
08051,0.54,0.73,0.92,1.16,1.4,1.67,1.94,1.39,0.83
08053,39.83,64.6,89.37,92.14,94.91,92.38,89.85,76.25,62.65
08055,86.82,91.4,95.99,95.38,94.78,92.94,91.09,87.5,83.9
08057,9.11,5.3,1.5,0.98,0.45,12.84,25.24,23.93,22.62
08059,5.76,5.73,5.7,5.81,5.92,7.05,8.18,7.94,7.7
08061,44.03,55.38,66.73,53.74,40.75,29.34,17.92,11.2,4.49
08063,65.27,62.67,60.08,48.18,36.29,43.37,50.45,50.93,51.42
08065,2.23,4.17,6.11,11.89,17.67,25.94,34.21,22.1,9.99
08067,4.11,3.55,2.99,2.97,2.96,3.76,4.55,5.33,6.11
08069,5.48,5.59,5.7,5.65,5.6,6.25,6.91,6.35,5.79
08071,73.96,76.34,78.73,83.8,88.86,90.54,92.23,92.57,92.9
08073,79.53,78.22,76.92,64.57,52.21,56.71,61.2,52.06,42.92
08075,42.31,42.7,43.08,38.11,33.14,41.32,49.49,45.68,41.87
08077,37.03,38.08,39.13,40.28,41.42,43.32,45.23,45.57,45.91
08079,83.22,84.96,86.69,76.13,65.58,37.55,9.52,10.64,11.77
08081,11.97,9.8,7.64,11.38,15.12,24.66,34.21,38.57,42.92
08083,45.78,49.33,52.88,59.23,65.58,65.14,64.7,53.81,42.92
08085,50.08,56.84,63.61,63.08,62.56,51.4,40.23,33.92,27.62
08087,17.54,16.84,16.14,16.27,16.4,12.75,9.1,7.6,6.11
08089,83.79,83.79,83.79,85.06,86.34,84.91,83.48,83.32,83.17
08091,13.34,10.2,7.07,17.16,27.25,20.33,13.4,28.65,43.91
08093,4.81,6.94,9.07,12.46,15.85,15.87,15.88,13.82,11.77
08095,37.89,32.76,27.63,21.74,15.85,13.36,10.88,19.25,27.62
08097,1.02,0.59,0.16,0.08,0.0,0.42,0.83,1.82,2.8
08099,80.64,80.29,79.94,75.24,70.55,68.84,67.12,66.24,65.35
08101,69.79,71.8,73.8,75.95,78.1,76.59,75.08,73.8,72.51
08103,16.05,11.22,6.4,7.68,8.95,20.53,32.11,44.52,56.92
08105,60.17,56.53,52.88,64.01,75.14,79.83,84.53,72.93,61.34
08107,0.54,0.42,0.29,0.19,0.1,0.32,0.54,0.59,0.64
08109,72.62,67.22,61.83,64.04,66.25,55.23,44.21,45.06,45.91
08111,2.55,11.84,21.14,26.02,30.91,15.63,0.35,0.29,0.22
08113,5.48,4.9,4.33,2.42,0.51,0.3,0.1,0.08,0.06
08115,41.45,41.78,42.12,51.88,61.64,58.73,55.82,66.62,77.41
08117,0.19,0.29,0.38,0.35,0.32,0.37,0.41,0.32,0.22
08119,38.78,36.61,34.45,37.6,40.75,40.17,39.59,35.59,31.59
08121,26.52,29.94,33.37,25.22,17.06,15.23,13.4,14.8,16.19
08123,10.98,9.31,7.64,7.31,6.97,8.92,10.88,11.01,11.14
08125,9.71,14.71,19.71,19.06,18.4,11.06,3.72,2.86,2.0
09110,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09120,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09130,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09140,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09150,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09160,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09170,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09180,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09190,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
10001,29.96,33.03,36.1,38.42,40.75,47.84,54.93,56.37,57.81
10003,13.72,13.55,13.37,12.6,11.84,15.26,18.68,19.41,20.14
