FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
08023,29.29,22.92,16.56,29.93,43.3,67.62,91.95
08025,88.12,92.5,96.88,80.44,63.99,73.05,82.11
08027,1.21,1.29,1.37,1.56,1.75,1.32,0.89
08029,16.97,13.32,9.68,8.52,7.35,13.68,20.02
08031,46.35,46.8,47.25,41.69,36.13,41.64,47.14
08033,8.5,33.42,58.33,47.23,36.13,21.64,7.16
08035,31.55,27.46,23.37,22.76,22.16,27.33,32.5
08037,29.99,26.47,22.95,18.43,13.91,23.2,32.5
08039,4.87,3.71,2.55,2.92,3.28,4.08,4.87
08041,65.97,64.34,62.72,62.53,62.34,61.71,61.08
08043,29.23,34.77,40.31,37.33,34.35,31.31,28.26
08045,51.67,46.44,41.2,36.83,32.47,39.8,47.14
08047,5.89,3.09,0.29,0.46,0.64,3.06,5.47
08049,14.07,18.46,22.86,16.94,11.02,7.78,4.55
08051,41.48,44.52,47.56,44.41,41.26,25.7,10.15
08053,0.13,0.76,1.4,1.67,1.94,49.16,96.37
08055,10.92,15.78,20.63,21.84,23.05,25.66,28.26
08057,9.81,5.08,0.35,0.68,1.02,1.1,1.18
08059,39.26,34.4,29.54,25.12,20.69,24.48,28.26
08061,79.18,77.68,76.19,70.74,65.3,38.3,11.3
08063,76.73,63.04,49.35,61.26,73.16,54.88,36.6
08065,65.39,46.24,27.09,31.61,36.13,31.32,26.51
08067,28.43,25.62,22.8,15.29,7.77,16.26,24.76
08069,28.97,27.74,26.52,22.94,19.36,20.26,21.16
08071,48.68,35.57,22.45,27.46,32.47,44.86,57.26
08073,19.23,27.43,35.63,23.62,11.62,8.54,5.47
08075,39.7,52.78,65.87,50.11,34.35,27.18,20.02
08077,56.61,64.36,72.11,68.7,65.3,63.94,62.57
08079,0.0,1.58,3.15,6.27,9.39,5.97,2.55
08081,41.13,46.38,51.64,72.84,94.05,90.4,86.76
08083,72.02,48.89,25.76,30.94,36.13,30.44,24.76
08085,37.15,32.52,27.89,20.9,13.91,11.17,8.43
08087,92.65,93.66,94.68,92.44,90.19,87.8,85.42
08089,90.7,88.33,85.96,88.46,90.96,66.15,41.34
08091,1.34,2.39,3.44,5.6,7.77,7.18,6.59
08093,8.05,5.7,3.34,2.13,0.92,2.06,3.21
08095,42.85,24.13,5.41,4.7,3.98,7.06,10.15
08097,3.76,22.14,40.53,44.76,49.0,62.2,75.4
08099,84.78,80.0,75.23,79.53,83.83,72.46,61.08
08101,83.76,81.46,79.15,80.5,81.85,79.28,76.7
08103,21.78,17.23,12.67,14.2,15.73,17.88,20.02
08105,41.42,46.56,51.7,57.84,63.99,60.62,57.26
08107,22.73,14.94,7.16,7.84,8.53,15.69,22.85
08109,14.01,8.06,2.1,2.58,3.06,31.08,59.1
08111,4.08,9.56,15.03,8.15,1.27,2.91,4.55
08113,24.01,27.85,31.68,30.64,29.61,30.05,30.49
08115,54.57,42.58,30.6,32.48,34.35,59.88,85.42
08117,11.11,9.38,7.64,6.54,5.44,3.68,1.91
08119,32.6,34.89,37.19,28.94,20.69,16.0,11.3
08121,13.72,24.0,34.29,44.2,54.12,48.64,43.16
08123,58.39,57.18,55.97,49.64,43.3,51.2,59.1
08125,3.98,9.9,15.82,32.41,49.0,47.08,45.16
09001,46.83,48.63,50.43,48.78,47.12,52.19,57.26
09003,78.35,75.24,72.14,70.23,68.32,69.96,71.61
09005,15.76,13.88,12.0,13.86,15.73,18.44,21.16
09007,24.04,21.82,19.61,21.73,23.85,32.6,41.34
09009,68.61,66.27,63.93,63.96,63.99,71.06,78.13
09011,70.65,73.5,76.35,73.74,71.12,68.24,65.37
09013,44.79,37.3,29.8,25.24,20.69,19.04,17.38
09015,81.95,79.54,77.14,76.96,76.79,78.5,80.2
10001,87.97,86.42,84.88,85.18,85.48,88.27,91.06
10003,70.9,69.99,69.09,64.87,60.65,65.4,70.15
10005,47.63,41.96,36.29,35.32,34.35,35.48,36.6
11001,60.14,62.39,64.63,59.38,54.12,62.86,71.61
12001,37.82,35.05,32.28,28.82,25.37,36.25,47.14
12003,84.5,77.19,69.88,77.25,84.62,60.61,36.6
12005,54.25,55.84,57.43,58.4,59.38,60.98,62.57
12007,57.05,58.45,59.85,70.31,80.77,84.78,88.8
12009,41.83,40.82,39.8,36.14,32.47,31.48,30.49
12011,78.1,78.13,78.16,76.42,74.69,74.31,73.93
12013,69.05,68.94,68.83,53.37,37.92,23.52,9.13
12015,9.36,8.67,7.99,6.39,4.78,6.96,9.13
12017,13.05,13.05,13.05,12.78,12.51,14.94,17.38
12019,72.14,68.79,65.43,68.7,71.98,67.27,62.57
12021,24.23,25.78,27.32,26.99,26.65,23.9,21.16
12023,59.79,51.32,42.85,41.23,39.61,44.38,49.14
12027,91.15,90.83,90.51,85.22,79.94,80.55,81.16
12029,11.81,31.37,50.94,49.97,49.0,28.72,8.43
12031,81.38,80.66,79.94,82.28,84.62,84.7,84.79
12033,46.8,37.33,27.86,24.28,20.69,39.9,59.1
12035,12.16,14.66,17.16,16.44,15.73,22.0,28.26
12037,26.2,18.61,11.02,9.78,8.53,14.27,20.02
12039,94.97,94.94,94.91,95.06,95.22,94.95,94.68
12041,16.24,25.28,34.32,50.67,67.02,69.89,72.76
12043,39.51,34.91,30.31,29.12,27.92,21.71,15.5
12045,76.25,66.19,56.13,47.87,39.61,56.18,72.76
12047,77.81,84.62,91.44,93.66,95.89,84.91,73.93
12049,93.66,92.45,91.24,90.72,90.19,83.44,76.7
12051,98.63,98.62,98.6,98.9,99.2,95.8,92.39
12053,44.41,44.56,44.7,40.42,36.13,33.31,30.49
12055,14.52,14.48,14.45,15.76,17.06,19.96,22.85
12057,80.1,80.53,80.96,80.45,79.94,79.04,78.13
12059,29.45,39.14,48.84,61.76,74.69,79.42,84.15
12061,21.65,15.53,9.42,6.46,3.5,5.04,6.59
12063,67.21,73.66,80.1,79.57,79.05,77.88,76.7
12065,32.63,41.45,50.27,44.1,37.92,33.09,28.26
12067,53.77,50.27,46.77,53.71,60.65,31.39,2.13
12069,27.13,33.99,40.85,40.23,39.61,33.94,28.26
12071,52.85,51.05,49.25,42.69,36.13,35.49,34.85
12073,61.48,54.94,48.39,53.07,57.75,67.22,76.7
12075,51.23,52.68,54.12,49.65,45.18,32.6,20.02
12077,77.65,83.44,89.24,83.48,77.71,52.99,28.26
12079,71.16,67.83,64.5,63.42,62.34,55.74,49.14
12081,28.46,29.48,30.5,31.48,32.47,27.66,22.85
12083,43.11,41.37,39.64,37.89,36.13,44.78,53.44
12085,8.31,9.91,11.52,9.43,7.35,8.75,10.15
12086,82.97,83.68,84.4,84.51,84.62,82.89,81.16
12087,11.97,11.44,10.92,17.39,23.85,24.3,24.76
12089,36.04,50.67,65.3,58.82,52.34,45.69,39.05
12091,63.77,54.18,44.6,40.36,36.13,44.78,53.44
12093,90.1,84.6,79.11,77.95,76.79,67.94,59.1
12095,81.28,83.27,85.26,84.94,84.62,80.66,76.7
12097,93.73,91.7,89.68,87.98,86.28,85.54,84.79
12099,51.64,50.78,49.92,45.59,41.26,43.21,45.16
12101,34.67,36.54,38.4,42.76,47.12,51.24,55.35
12103,31.74,30.54,29.35,28.64,27.92,32.26,36.6
12105,71.76,71.3,70.84,71.41,71.98,68.68,65.37
12107,60.27,59.04,57.82,51.5,45.18,50.26,55.35
12109,22.45,19.36,16.27,17.2,18.12,20.48,22.85
12111,70.23,61.56,52.88,51.7,50.53,50.89,51.24
12113,42.73,42.01,41.29,49.52,57.75,58.42,59.1
12115,13.63,11.43,9.23,8.88,8.53,10.44,12.35
12117,41.87,41.46,41.04,41.15,41.26,49.26,57.26
12119,0.8,0.83,0.86,0.75,0.64,1.39,2.13
12121,78.38,80.6,82.81,82.9,83.0,67.12,51.24
12123,28.05,35.29,42.53,33.19,23.85,31.45,39.05
